"Serial Number","List Year","Date Recorded","Assessed Value","Sale Amount","Sales Ratio"
"20685","2020","07/06/2021","124180.00","265000.00","0.4686"
"200099","2020","11/10/2020","442100.00","681000.00","0.6491"
"20284","2020","01/11/2021","120240.00","250000.00","0.4809"
"20595","2020","04/01/2021","133630.00","720000.00","0.1855"
"20521","2020","09/28/2021","218050.00","404500.00","0.539"
"20083","2020","07/20/2021","109300.00","241000.00","0.4535"
"200025","2020","10/05/2020","4653670.00","6300000.00","0.7386"
"200009","2020","10/14/2020","154890.00","255000.00","0.6074"
"200686","2020","04/08/2021","287600.00","505000.00","0.56950495"
"200466","2020","04/27/2021","115730.00","236500.00","0.4893"
"200621","2020","07/20/2021","183120.00","375000.00","0.48832"
"200357","2020","12/14/2020","112700.00","270000.00","0.4174"
"200855","2020","09/17/2021","148700.00","310000.00","0.4796"
"201567","2020","09/22/2021","201000.00","295000.00","0.6813"
"200102","2020","01/21/2021","50640.00","36300.00","1.395041322"
"200285","2020","12/10/2020","111650.00","207000.00","0.539371981"
"200252","2020","04/21/2021","404950.00","175000.00","2.314"
"200064","2020","10/16/2020","114450.00","241900.00","0.4731"
"200159","2020","12/04/2020","310800.00","507500.00","0.6124"
"201790","2020","09/30/2021","2744560.00","2075000.00","1.3226"
"200472","2020","01/08/2021","461440.00","664000.00","0.6949"
"200734","2020","09/23/2021","161740.00","247000.00","0.6548"
"200494","2020","01/19/2021","213600.00","295000.00","0.724"
"200343","2020","09/09/2021","76900.00","180000.00","0.4272"
"200334","2020","12/09/2020","99800.00","25632.00","3.893570537"
"200566","2020","07/26/2021","166210.00","150000.00","1.108"
"200326","2020","05/12/2021","384440.00","728800.00","0.5274"
"200149","2020","11/30/2020","121870.00","190000.00","0.641421053"
"20723","2020","04/27/2021","3220.00","9136.00","0.3524"
"200064","2020","03/29/2021","267800.00","432500.00","0.6191"
"200318","2020","02/02/2021","121200.00","156850.00","0.772712783"
"200744","2020","08/05/2021","105300.00","163000.00","0.646"
"2020395","2020","09/02/2021","123800.00","40000.00","3.095"
"200263","2020","12/08/2020","155610.00","140000.00","1.1115"
"200092","2020","01/25/2021","243600.00","620000.00","0.392903226"
"200000290","2020","06/11/2021","224980.00","482000.00","0.4667"
"20511","2020","03/08/2021","80920.00","222000.00","0.3645"
"200545","2020","05/26/2021","123760.00","230000.00","0.538"
"200098","2020","11/10/2020","234200.00","358000.00","0.6541"
"200218","2020","04/15/2021","128730.00","276000.00","0.4664"
"201230","2020","09/08/2021","142400.00","250000.00","0.5696"
"20000246","2020","04/30/2021","250200.00","560000.00","0.446785714"
"201314","2020","07/02/2021","243740.00","1325000.00","0.1839"
"200703","2020","04/19/2021","104230.00","178000.00","0.5855"
"201240","2020","05/20/2021","83230.00","136100.00","0.6115"
"201346","2020","08/17/2021","86520.00","194900.00","0.443919959"
"2020081","2020","12/01/2020","135900.00","195250.00","0.696"
"200105","2020","11/18/2020","100480.00","184000.00","0.546"
"200207","2020","07/20/2021","204690.00","361000.00","0.567"
"200230","2020","06/28/2021","13350.00","17200.00","0.7761"
"201270","2020","06/29/2021","3132780.00","6300000.00","0.4972"
"20013","2020","11/02/2020","141230.00","160000.00","0.8826875"
"200182","2020","04/12/2021","307440.00","409900.00","0.75"
"201199","2020","08/19/2021","71750.00","165000.00","0.4348"
"200157","2020","06/18/2021","389870.00","850000.00","0.4586"
"2000211","2020","05/06/2021","129670.00","245000.00","0.5292"
"200031","2020","08/18/2021","128440.00","330000.00","0.3892"
"200589","2020","02/10/2021","203500.00","360000.00","0.5652"
"2000431","2020","07/19/2021","131610.00","729900.00","0.180312372"
"20910","2020","06/22/2021","71222.00","210000.00","0.3391"
"200018","2020","10/15/2020","131810.00","257000.00","0.5128"
"200198","2020","12/18/2020","108850.00","239000.00","0.4554"
"200880","2020","09/28/2021","224700.00","415000.00","0.5414"
"200359","2020","06/07/2021","297000.00","530000.00","0.5603"
"200177","2020","01/25/2021","345730.00","499000.00","0.6928"
"20218","2020","03/02/2021","242270.00","365000.00","0.663753425"
"20019","2020","10/27/2020","92960.00","437000.00","0.2127"
"2000107","2020","12/08/2020","759960.00","1100000.00","0.6908"
"2000374","2020","06/16/2021","74920.00","150000.00","0.4994"
"200112","2020","03/05/2021","143000.00","106200.00","1.3465"
"200281","2020","11/30/2020","59400.00","152900.00","0.388489209"
"201187","2020","07/12/2021","217700.00","395000.00","0.5511"
"200062","2020","04/08/2021","217000.00","325000.00","0.6676"
"200029","2020","11/09/2020","179090.00","325000.00","0.551"
"200114","2020","08/02/2021","587430.00","977500.00","0.6009"
"200095","2020","06/02/2021","233220.00","437500.00","0.533"
"20180","2020","12/02/2020","107090.00","223000.00","0.4802"
"200005","2020","10/02/2020","1145970.00","1350000.00","0.848866667"
"200219","2020","07/20/2021","269480.00","458860.00","0.5872"
"200834","2020","05/26/2021","198380.00","370000.00","0.5361"
"200067","2020","12/01/2020","127700.00","235000.00","0.5434"
"20454","2020","08/18/2021","266910.00","485000.00","0.5503"
"200603","2020","03/22/2021","114940.00","210000.00","0.5473"
"20380","2020","06/07/2021","748230.00","1451000.00","0.515665059"
"201098","2020","08/04/2021","102400.00","142000.00","0.7211"
"200131","2020","12/15/2020","353800.00","588500.00","0.6011"
"20000187","2020","06/21/2021","167860.00","333500.00","0.5033"
"20712","2020","07/12/2021","102080.00","250000.00","0.4083"
"201370","2020","09/29/2021","118650.00","255000.00","0.4652"
"200202","2020","12/21/2020","275600.00","418000.00","0.6593"
"200461","2020","01/06/2021","2180640.00","3000000.00","0.7268"
"200599","2020","07/01/2021","116300.00","255000.00","0.456"
"20897","2020","06/18/2021","81733.00","280000.00","0.2919"
"200372","2020","07/21/2021","140070.00","300000.00","0.4669"
"200425","2020","12/31/2020","108400.00","230000.00","0.4713"
"201056","2020","06/14/2021","113000.00","225000.00","0.5022"
"200133","2020","09/27/2021","109670.00","199000.00","0.5511"
"200158","2020","12/15/2020","139480.00","211000.00","0.661042654"
"200472","2020","05/20/2021","53060.00","96000.00","0.5527"
"201376","2020","08/17/2021","901900.00","3250000.00","0.2775"
"200122","2020","06/08/2021","216680.00","300000.00","0.7222"
"200062","2020","01/19/2021","330030.00","515000.00","0.6408"
"200106","2020","07/13/2021","74340.00","155000.00","0.4796"
"200126","2020","06/03/2021","201030.00","269900.00","0.7448"
"200160","2020","01/11/2021","230100.00","440000.00","0.522954545"
"200103","2020","06/28/2021","231560.00","475000.00","0.4874"
"20193","2020","07/27/2021","225260.00","370000.00","0.6088"
"200000320","2020","07/08/2021","113530.00","201000.00","0.5648"
"200154","2020","12/11/2020","146200.00","265000.00","0.5516"
"2000491","2020","08/31/2021","140580.00","340000.00","0.4134"
"20483","2020","04/16/2021","12480.00","18000.00","0.6933"
"20000042","2020","11/20/2020","106050.00","225000.00","0.4713"
"200364","2020","03/25/2021","162100.00","355000.00","0.4566"
"20000271","2020","09/15/2021","82390.00","125000.00","0.6591"
